Excel Row,Artwork ID,Title,Category,Price INR,Materials,Dimensions,Existing Intern Notes,Recommended Final Sync Action,Corrected Fields Needed,Proposed Intern Review Notes,Business Owner Input Needed
18,art-1771031213758,Soft Romantic Pastel Drape with Lavender Blooms,,12000.00,Pure Chiffon,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
19,art-1771033398626,Teal & Blue Boho Decorative Round,,1000.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
20,art-1771101879286,Decorative Serving Board,,800.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
21,art-1771101978525,Hand painted Tussar Saree,,22000.00,Pure Tussar,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
26,art-1771454920479,Canvas Bag - Flowers,,1000.00,Canvas Cloth,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
27,art-1771902788998,Hand Painted Wooden Mandala Tray (fillable Round),,1100.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
28,art-1771903158477,Luxury Lippan Art Wall Panel,,8000.00,"Wood, Clay and Mirrors",,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
29,art-1771903526915,Handcrafted Mud & Mirror Floral Mandala,,2800.00,"Wood, Clay and Mirrors",,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
32,art-1772897507182,Peach & Ivory Mirror Work Mandala,,8000.00,"Wood, Clay and Mirrors",,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
33,art-1772899719136,Lippan Art Small decorative Squares (set of 5),,1000.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
34,art-1772942427729,Hand-Painted Blue & Green Dot Mandala Wall Art,,4000.00,Wood,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
35,art-1772991773037,Elegant Pink Floral Texture Wall Art – 4 Panel Canvas Set,,25000.00,"Canvas, Clay",,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
36,art-1778384480649,Rhythms of Heritage – Blue Mirror Mosaic Art Work,,11500.00,Glass Mirrors Cuttings,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
37,art-1778384550442,Moonlit Lotus – White Mirror Mosaic Art Work,,13500.00,Glass Mirrors Cuttings,,,NO_CHANGE,None,INV-03-01 reviewed: final action NO_CHANGE for artwork-level fields. Suggested Sync Action was NO_CHANGE and current artwork fields/category validate. REVIEW was driven by size-level pricing review flag; defer size-level USD/variant pricing to pricing subtask. No Corrected_* fields needed.,No for artwork-level sync; size-level pricing follow-up required (REVIEW_SIZE_PRICING).
