Priority,Artwork ID,Artwork Title,Gap Category,Gap Description,Recommended Action,Blocks Phase 1 Sync,Owner/Decision Needed,Source/Notes
P2,art-1771903526915,Handcrafted Mud & Mirror Floral Mandala,Ambiguous Size Label,"""8""(round) or 8"" (square)"" and ""10"" (round) or 10"" (square"")"" — same ambiguous pattern with inconsistent spacing.,Split into two rows per size or standardize format.,No,Business owner to confirm if round vs square pricing differs,INV-03-06 live API review
P2,art-1772899719136,Lippan Art Small decorative Squares (set of 5),Ambiguous Size Label,"""4"" (squares and round)"" — shape types combined in single size label.",Clarify if square and round variants have the same price. Split into two rows if separate options.,No,Business owner to confirm,INV-03-06 live API review
P2,(project-level),(backend),Backend CRLF/LF Normalization Issue,Preview endpoint generates false-positive stale-data warnings when workbook description text uses LF line endings vs CRLF stored in DB. Identified in INV-03-02.,Add line-ending normalization in server/inventorySync.js field comparison logic before Phase 1 commit endpoint is built.,No,Dev — backend fix required before commit endpoint,INV-03-02 UPDATE Field Validation
P2,(project-level),(docs/config/UI),Multiplier 1.75 References to Mark Historical,INV-03-04 confirmed active multiplier is 2.25. References to 1.75 in docs/UI/config should be labeled historical or updated.,Search and audit all 1.75 references in docs/ server/ and admin UI. Mark historical or update.,No,Dev/content review,INV-03-04 Assumptions Report
P2,art-1771904016600,Heart Shaped Wooden Coaster Set,Materials Casing — Resolved in Phase 1,materials = 'wood' (lowercase). Being corrected to 'Wood' by Phase 1 UPDATE row 31.,No action needed — resolved by Phase 1 UPDATE sync commit.,Resolved in Phase 1,N/A,INV-03-05 preview / INV-03-01
P2,art-1771903835260,Wooden Coaster Set,Materials Casing — Resolved in Phase 1,materials = 'wood' (lowercase). Being corrected to 'Wood' by Phase 1 UPDATE row 30.,No action needed — resolved by Phase 1 UPDATE sync commit.,Resolved in Phase 1,N/A,INV-03-05 preview / INV-03-01
P2,art-1770775579766,Intricate Floral Mandala Art in Green & Gold,Materials Casing — Resolved in Phase 1,materials = 'wood' (lowercase). Being corrected to 'Wood' by Phase 1 UPDATE row 7.,No action needed — resolved by Phase 1 UPDATE sync commit.,Resolved in Phase 1,N/A,INV-03-05 preview / INV-03-01
P2,art-1771030980031,Midnight Plum Hand-Painted Floral Saree,Materials Truncation — Resolved in Phase 1,materials = 'Pure Wrinkle Cr' (truncated at 15 chars). Being corrected to 'Pure Wrinkle Crepe' by Phase 1 UPDATE row 17.,No action needed — resolved by Phase 1 UPDATE sync commit.,Resolved in Phase 1,N/A,INV-03-05 preview / INV-03-01
P3,(all artworks),(all 36 artworks),Missing Dimensions Field,artworks.dimensions column is NULL for all 36 artworks. Physical dimensions are only implied by size labels in artwork_sizes or embedded informally in descriptions.,"If structured dimensions are needed for shipping, filtering, or international listings, define a schema and add a data-collection workflow.",No,Business owner — determine if dimensions field is needed,INV-03-06 live API review
P3,art-1770419263598,Eternal Glow – Mandala of Light and Balance,Size USD Recalculation Needed,"73 artwork_sizes rows across 33 artworks have stale price_usd. This artwork: 4 size rows. Deltas: 12"" +$34, 18"" +$107, 24"" +$168, 36"" +$411.",Handle in dedicated size USD recalculation workflow after FX rate confirmed. See INV-03-03 CSV for full detail.,No,Business owner approval needed before committing new USD prices,INV-03-03 Size USD Recalculation Report
P3,art-1770419460850,Mandala in Blue and Peach,Size USD Recalculation Needed,"1 size row. 12"" +$9 delta.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1770771760544,Hand-Painted Keychains (set of 5),Size USD Recalculation Needed,1 size row. custom +$2 delta.,Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1770771970545,Mango-Shaped storage box,Size USD Recalculation Needed,1 size row. 4"x2" +$2 delta.,Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1770775579766,Intricate Floral Mandala Art in Green & Gold,Size USD Recalculation Needed,"4 size rows. 12"" +$21, 18"" +$92, 24"" +$143, 36"" +$362.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1770777152872,Sacred Geometry in Clay & Mirror,Size USD Recalculation Needed,"2 size rows. 18""x18"" +$43, 24""x24"" +$140.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1770778384172,Butterfly Set (3 pieces),Size USD Recalculation Needed,1 size row. 4"/6"/8" set +$9 delta.,Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1770778509370,Coaster Set (4 pieces),Size USD Recalculation Needed,"4 size rows. Set of 4 +$4, set of 6 +$9, resin set of 4 +$14, resin set of 6 +$22.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1770779054676,Floral Rectangular Wooden Storage Box,Size USD Recalculation Needed,"2 size rows. 12""x5""x3"" +$9, 9""x9""x4"" +$16.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1770779208267,Rectangular Wooden box,Size USD Recalculation Needed,"2 size rows. 9""x2.5""x2.5"" +$4, set of 3 +$33.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1770933508740,Canvas Bag - Birds,Size USD Recalculation Needed,"2 size rows. 10""x10"" -$1 (slight decrease), 12""x12"" +$11.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771030266195,Hand-Painted Floral Saree,Size USD Recalculation Needed,1 size row (Standard). +$108 delta.,Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771030980031,Midnight Plum Hand-Painted Floral Saree,Size USD Recalculation Needed,1 size row (Standard). +$97 delta.,Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771031213758,Soft Romantic Pastel Drape with Lavender Blooms,Size USD Recalculation Needed,1 size row (Standard). +$65 delta.,Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771033398626,Teal & Blue Boho Decorative Round,Size USD Recalculation Needed,"2 size rows. 6"" set of 2 +$5, 6"" resin set of 2 +$18.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771101879286,Decorative Serving Board,Size USD Recalculation Needed,"6 size rows. Deltas: 9"" single +$4, 10"" single +$7, 15"" single +$15, 9"" set of 2 +$22, 10"" set of 2 +$24, 15"" set of 2 +$36.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771101978525,Hand painted Tussar Saree,Size USD Recalculation Needed,1 size row (Standard). +$119 delta.,Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771102194181,Dot Mandala Coaster Set – Variety Pack (4 pieces),Size USD Recalculation Needed,"4 size rows. Set of 4 +$4, set of 6 +$9, resin set of 4 +$14, resin set of 6 +$22.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771102482592,Lippan Decorative Wall Panel – Style A,Size USD Recalculation Needed,"3 size rows. 8"" -$18, 10"" -$8, 12""x14"" +$11.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771102578812,Decorative Wall Panel,Size USD Recalculation Needed,"3 size rows. 8"" +$5, 10"" +$15, 12""x14"" +$34.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771102688340,Small decorative Rounds (set of 5),Size USD Recalculation Needed,"1 size row. 6"" set of 5 +$14.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771454920479,Canvas Bag - Flowers,Size USD Recalculation Needed,"2 size rows. 12""x11"" +$5, 14""x15"" +$25.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771902788998,Hand Painted Wooden Mandala Tray (fillable Round),Size USD Recalculation Needed,"4 size rows. 4.5"" -$9, 6"" -$4, 8"" +$1, 10"" +$6.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771903158477,Luxury Lippan Art Wall Panel,Size USD Recalculation Needed,"2 size rows. 18""x18"" +$43, 24""x24"" +$140.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771903526915,Handcrafted Mud & Mirror Floral Mandala,Size USD Recalculation Needed,"3 size rows. 8"" -$14, 10"" -$4, 12""x14"" +$15.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771903835260,Wooden Coaster Set,Size USD Recalculation Needed,"4 size rows. Set of 4 +$4, set of 6 +$9, resin set of 4 +$14, resin set of 6 +$22.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1771904016600,Heart Shaped Wooden Coaster Set,Size USD Recalculation Needed,"4 size rows. Set of 4 +$4, set of 6 +$9, resin set of 4 +$14, resin set of 6 +$22.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1772897507182,Peach & Ivory Mirror Work Mandala,Size USD Recalculation Needed,"2 size rows. 18""x18"" +$43, 24""x24"" +$140.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1772899719136,Lippan Art Small decorative Squares (set of 5),Size USD Recalculation Needed,"1 size row. 4"" (squares and round) +$5.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1772942427729,Hand-Painted Blue & Green Dot Mandala Wall Art,Size USD Recalculation Needed,"1 size row. 12""x12"" +$21.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1772991773037,Elegant Pink Floral Texture Wall Art – 4 Panel Canvas Set,Size USD Recalculation Needed,1 size row. Each Panel 24""x12"" (4 panels) +$136 delta.,Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1778384480649,Rhythms of Heritage – Blue Mirror Mosaic Art Work,Size USD Recalculation Needed,"1 size row. 12""x12"" +$62.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
P3,art-1778384550442,Moonlit Lotus – White Mirror Mosaic Art Work,Size USD Recalculation Needed,"1 size row. 12""x12"" +$73.",Handle in dedicated size USD recalculation workflow.,No,Business owner approval,INV-03-03
